DOID:0001816	angiosarcoma	angiosarcoma|angiosarcoma non-metastatic|angiosarcoma nonmetastatic|angiosarcoma nos|angiosarcomas|haemangioendothelial sarcoma|haemangioendothelial sarcomas|haemangioendothelioma malignant|haemangiosarcoma|haemangiosarcoma nos|haemangiosarcomas|hemangioendothelial sarcoma|hemangioendothelial sarcomas|hemangioendothelioma malignant|hemangiosarcoma|hemangiosarcoma nos|hemangiosarcomas|localized angiosarcoma|localized angiosarcomas|malign haemangioendothelioma|malign haemangioendotheliomas|malign hemangioendothelioma|malign hemangioendotheliomas|malignant angioendothelioma|malignant angioendotheliomas|malignant haemangioendothelioma|malignant haemangioendotheliomas|malignant hemangioendothelioma|malignant hemangioendotheliomas|non-metastatic angiosarcoma|non-metastatic angiosarcomas|non-metastatic hemangiosarcoma|non-metastatic hemangiosarcomas
DOID:0060060	non-Hodgkin lymphoma	diffuse malignant lymphoma|diffuse malignant lymphomas|diffuse small cleaved cell lymphoma|diffuse small cleaved cell lymphomas|diffuse small cleaved lymphoma|diffuse small cleaved lymphomas|diffuse small cleaved-cell lymphoma|diffuse small cleaved-cell lymphomas|lymphoma non hodgkin|lymphoma small cleaved diffuse|malignant lymphoma non hodgkins type|nhl - non-hodgkin's lymphoma|nhl - non-hodgkin's lymphomas|non hodgkin lymphoma|non hodgkin lymphomas|non hodgkin's lymphoma|non hodgkin's lymphomas|non hodgkins lymphoma|non hodgkins lymphomas|non-hodgkin lymphoma|non-hodgkin lymphoma - category|non-hodgkin lymphoma nos|non-hodgkin lymphomas|non-hodgkin malignant lymphoma|non-hodgkin malignant lymphomas|non-hodgkin's lymphoma|non-hodgkin's lymphoma - disorder|non-hodgkin's lymphoma nos|non-hodgkin's lymphomas|non-hodgkin's malignant lymphoma|non-hodgkin's malignant lymphomas|non-hodgkin`s lymphoma|non-hodgkin`s lymphomas|non-hodgkins lymphoma|non-hodgkins lymphomas|nonhodgkin lymphoma|nonhodgkin lymphomas|nonhodgkin's lymphoma|nonhodgkin's lymphomas|nonhodgkins lymphoma|nonhodgkins lymphomas|small cleaved lymphoma diffuse
DOID:0060061	primary cutaneous T-cell non-Hodgkin lymphoma	cutaneous t cell lymphoma|cutaneous t cell lymphomas|cutaneous t-cell lymphoma|cutaneous t-cell lymphomas|primary cutaneous t-cell non-hodgkin lymphoma|primary cutaneous t-cell non-hodgkin lymphomas
DOID:0060073	lymphatic system cancer	lymphatic system cancer|lymphatic system cancers
DOID:0060075	estrogen-receptor positive breast cancer	estrogen-receptor positive breast cancer|estrogen-receptor positive breast cancers
DOID:0060076	estrogen-receptor negative breast cancer	estrogen-receptor negative breast cancer|estrogen-receptor negative breast cancers
DOID:0060077	progesterone-receptor positive breast cancer	progesterone-receptor positive breast cancer|progesterone-receptor positive breast cancers
DOID:0060078	progesterone-receptor negative breast cancer	progesterone-receptor negative breast cancer|progesterone-receptor negative breast cancers
DOID:0060079	Her2-receptor positive breast cancer	her2-receptor positive breast cancer|her2-receptor positive breast cancers
DOID:0060080	Her2-receptor negative breast cancer	her2-receptor negative breast cancer|her2-receptor negative breast cancers
DOID:0060081	triple-receptor negative breast cancer	triple-receptor negative breast cancer|triple-receptor negative breast cancers
DOID:0060083	immune system cancer	immune system cancer|immune system cancers
DOID:0060100	musculoskeletal system cancer	musculoskeletal system cancer|musculoskeletal system cancers|skeletal system cancer|skeletal system cancers
DOID:0060102	cartilage cancer	cartilage cancer|cartilage cancers
DOID:0060103	central nervous system embryonal tumor	central nervous system embryonal tumor|central nervous system embryonal tumors|central nervous system embryonal tumour|central nervous system embryonal tumours|central nervous system primitive neuroectodermal neoplasm|central nervous system primitive neuroectodermal neoplasms
DOID:0060104	cerebellar medulloblastoma	cerebellar medulloblastoma|cerebellar medulloblastomas
DOID:0060106	brain meningioma	brain meningioma|brain meningiomas
DOID:0060108	brain glioma	brain glioma|brain gliomas|glial cell tumor|glial cell tumors|glial cell tumour|glial cell tumours|glial neoplasm|glial neoplasms|glial tumor|glial tumors|glial tumour|glial tumours|glioma|gliomas|malignant glial neoplasm|malignant glial neoplasms|malignant glial tumor|malignant glial tumors|malignant glial tumour|malignant glial tumours|malignant glioma|malignant gliomas|malignant neuroglial neoplasm|malignant neuroglial neoplasms|malignant neuroglial tumor|malignant neuroglial tumors|malignant neuroglial tumour|malignant neuroglial tumours|neoplasm of neuroglia|neoplasm of the neuroglia|neuroglial neoplasm|neuroglial neoplasms|neuroglial tumor|neuroglial tumors|neuroglial tumour|neuroglial tumours|tumor of neuroglia|tumor of the neuroglia|tumour of neuroglia|tumour of the neuroglia
DOID:0060116	sensory system cancer	sensory system cancer|sensory system cancers
DOID:0060119	pharynx cancer	neopl pharyngeal|neopl pharynx|neoplasia of the pharynx|neoplasm of pharynx|neoplasm of the pharynx|neoplasm of the throat|obsolete pharyngeal neoplasm|obsolete pharyngeal neoplasms|pharyngeal neopl|pharyngeal neoplasm|pharyngeal neoplasm nos|pharyngeal neoplasms|pharyngeal tumor|pharyngeal tumor or cancer|pharyngeal tumor or cancers|pharyngeal tumors|pharyngeal tumour|pharyngeal tumour or cancer|pharyngeal tumour or cancers|pharyngeal tumours|pharynx cancer|pharynx cancers|pharynx neopl|pharynx neoplasm|pharynx neoplasms|pharynx tumor|pharynx tumor or cancer|pharynx tumor or cancers|pharynx tumors|pharynx tumour|pharynx tumour or cancer|pharynx tumour or cancers|pharynx tumours|pharynx--tumors|pharynx--tumours|tumor of pharynx|tumor of the pharynx|tumour of pharynx|tumour of the pharynx
DOID:0060122	integumentary system cancer	integumentary system cancer|integumentary system cancers
DOID:0060219	lymph node adenoid cystic carcinoma	lymph node adenoid cystic cancer|lymph node adenoid cystic cancers|lymph node adenoid cystic carcinoma|lymph node adenoid cystic carcinomas
DOID:0060318	acute promyelocytic leukemia	acute myeloblastic leukaemia 3|acute myeloblastic leukaemia type 3|acute myeloblastic leukemia 3|acute myeloblastic leukemia type 3|acute myeloid leukaemia m3|acute myeloid leukemia m3|acute promyelocytic leukaem|acute promyelocytic leukaemia|acute promyelocytic leukaemia apl|acute promyelocytic leukaemia nos|acute promyelocytic leukaemia with pml-rara|acute promyelocytic leukaemias|acute promyelocytic leukemia|acute promyelocytic leukemia apl|acute promyelocytic leukemia nos|acute promyelocytic leukemia with pml-rara|acute promyelocytic leukemias|aml m3|apl - acute promyelocytic leuk|apl - acute promyelocytic leukaemia|apl - acute promyelocytic leukaemias|apl - acute promyelocytic leukemia|apl - acute promyelocytic leukemias|apml|apml - acute promyel leukaemia|apml - acute promyel leukaemias|apml - acute promyel leukemia|apml - acute promyel leukemias|apml - acute promyelocytic leukaemia|apml - acute promyelocytic leukaemias|apml - acute promyelocytic leukemia|apml - acute promyelocytic leukemias|fab m3|leukaemia acute promyelocytic|leukaemia myeloid acute m 03|leukemia acute promyelocytic|leukemia myeloid acute m 03|m3 - acute promyelocyt leukaem|m3 - acute promyelocytic leukaemia|m3 - acute promyelocytic leukaemias|m3 - acute promyelocytic leukemia|m3 - acute promyelocytic leukemias|m3 acute promyelocytic leukaemia|m3 acute promyelocytic leukaemias|m3 acute promyelocytic leukemia|m3 acute promyelocytic leukemias|m3 anll|myeloid leukaemia acute m 03|myeloid leukemia acute m 03|progranulocytic leukaemia|progranulocytic leukaemias|progranulocytic leukemia|progranulocytic leukemias|promyelocytic leukaemia|promyelocytic leukaemias|promyelocytic leukemia|promyelocytic leukemias
DOID:0060338	parameningeal embryonal rhabdomyosarcoma	parameningeal embryonal rhabdomyosarcoma|parameningeal embryonal rhabdomyosarcomas
DOID:0060463	NUT midline carcinoma	midline carcinoma of children and young adults with nut rearrangement|nuclear protein in testis associated carcinoma|nuclear protein in testis associated carcinomas|nuclear protein in testis carcinoma|nuclear protein in testis carcinomas|nuclear protein in testis midline carcinoma|nuclear protein in testis midline carcinomas|nut carcinoma|nut carcinomas|nut midline carcinoma|nut midline carcinomas
DOID:0060534	hepatoid adenocarcinoma	hepatoid adenocarcinoma|hepatoid adenocarcinomas|hepatoid carcinoma|hepatoid carcinomas
DOID:0060548	luminal breast carcinoma A	luminal a|luminal a breast cancer|luminal a breast cancers|luminal a breast carcinoma|luminal a breast carcinomas|luminal a estrogen receptor positive subtype of breast carcinoma|luminal a estrogen receptor positive subtype of breast carcinomas|luminal a subtype of breast carcinoma|luminal a subtype of breast carcinomas|luminal breast carcinoma a
DOID:0060592	B-cell adult acute lymphocytic leukemia	adult b acute lymphoblastic leukaemia|adult b acute lymphoblastic leukaemias|adult b acute lymphoblastic leukemia|adult b acute lymphoblastic leukemias|adult b acute lymphocytic leukemia|adult b acute lymphocytic leukemias|adult b acute lymphoid leukemia|adult b acute lymphoid leukemias|adult b-cell acute lymphoblastic leukaemia|adult b-cell acute lymphoblastic leukaemias|adult b-cell acute lymphoblastic leukemia|adult b-cell acute lymphoblastic leukemias|adult b-cell acute lymphocytic leukemia|adult b-cell acute lymphocytic leukemias|adult b-cell acute lymphoid leukemia|adult b-cell acute lymphoid leukemias|adult b-cell lymphocytic leukaemia|adult b-cell lymphocytic leukaemias|adult b-cell lymphocytic leukemia|adult b-cell lymphocytic leukemias|adult b-lymphoblastic leukaemia|adult b-lymphoblastic leukaemias|adult b-lymphoblastic leukemia|adult b-lymphoblastic leukemias|b-cell adult acute lymphoblastic leukemia|b-cell adult acute lymphoblastic leukemias|b-cell adult acute lymphocytic leukaemia|b-cell adult acute lymphocytic leukaemias|b-cell adult acute lymphocytic leukemia|b-cell adult acute lymphocytic leukemias|b-cell adult acute lymphoid leukemia|b-cell adult acute lymphoid leukemias
DOID:0060597	atypical chronic myeloid leukemia, BCR-ABL1 negative	acml|atypic chron myeloid leukaemia|atypic chron myeloid leukaemias|atypic chron myeloid leukemia|atypic chron myeloid leukemias|atypical chronic myeloid leukaemia|atypical chronic myeloid leukaemia bcr-abl1 negative|atypical chronic myeloid leukaemias|atypical chronic myeloid leukemia|atypical chronic myeloid leukemia bcr-abl1 negative|atypical chronic myeloid leukemias|atypical cml|leukaemia myelogenous subacute|leukaemia phila neg|leukemia myelogenous subacute|leukemia phila neg|ph1-negative myelogenous leukaemia|ph1-negative myelogenous leukaemias|ph1-negative myelogenous leukemia|ph1-negative myelogenous leukemias|ph1-negative myeloid leukaemia|ph1-negative myeloid leukaemias|ph1-negative myeloid leukemia|ph1-negative myeloid leukemias|philadelphia-negative myelogenous leukaemia|philadelphia-negative myelogenous leukaemias|philadelphia-negative myelogenous leukemia|philadelphia-negative myelogenous leukemias|philadelphia-negative myeloid leukaemia|philadelphia-negative myeloid leukaemias|philadelphia-negative myeloid leukemia|philadelphia-negative myeloid leukemias|subacute granulocytic leukaemia|subacute granulocytic leukaemias|subacute granulocytic leukemia|subacute granulocytic leukemias|subacute myelogenous leukaemia|subacute myelogenous leukaemias|subacute myelogenous leukemia|subacute myelogenous leukemias|subacute myeloid leukaemia|subacute myeloid leukaemia -retired-|subacute myeloid leukaemia without mention of remission|subacute myeloid leukaemias|subacute myeloid leukemia|subacute myeloid leukemia -retired-|subacute myeloid leukemia without mention of remission|subacute myeloid leukemias|subacute myelosis
DOID:0060761	familial chronic myelocytic leukemia-like syndrome	familial chronic myelocytic leukaemia-like syndrome|familial chronic myelocytic leukemia-like syndrome|familial cml-like syndrome
DOID:0060888	transient myeloproliferative syndrome	transient abnormal myelopoiesis|transient leukaemia|transient leukaemia of down syndrome|transient leukaemias|transient leukemia|transient leukemia of down syndrome|transient leukemias|transient myeloproliferative disease|transient myeloproliferative syndrome
DOID:0060901	lymphoplasmacytic lymphoma	familial waldenstrom macroglobulinaemia|familial waldenstrom macroglobulinaemias|familial waldenstrom macroglobulinemia|familial waldenstrom macroglobulinemias|familial waldenstrom's macroglobulinaemia|familial waldenstrom's macroglobulinaemias|familial waldenstroms macroglobulinaemia|familial waldenstroms macroglobulinaemias|familial waldenström macroglobulinemia|familial waldenström macroglobulinemias|lymphoplasmacytic lymphoma|lymphoplasmacytic lymphoma with igm gammopathy|lymphoplasmacytic lymphoma/waldenström macroglobulinemia|lymphoplasmacytic lymphoma/waldenström macroglobulinemias|lymphoplasmacytic lymphoma/waldenström's macroglobulinemia|lymphoplasmacytic lymphoma/waldenström's macroglobulinemias|lymphoplasmacytic lymphomas|lymphoplasmacytoid lymphomas|macroglobulinaemia|macroglobulinaemia nos|macroglobulinaemias|macroglobulinemia|macroglobulinemia nos|macroglobulinemia waldenstrom|macroglobulinemia waldenstrom's|macroglobulinemia waldenstroms|macroglobulinemias|primary macroglobulinaemia|primary macroglobulinaemias|primary macroglobulinemia|primary macroglobulinemias|von waldenstrom macroglobulinaemia|von waldenstrom macroglobulinaemias|von waldenstrom macroglobulinemia|von waldenstrom macroglobulinemias|waldenstroem's macroglobulinemia|waldenstroem's macroglobulinemias|waldenstrom macroglobulinaemia|waldenstrom macroglobulinaemias|waldenstrom macroglobulinemia|waldenstrom macroglobulinemias|waldenstrom's macroglob'naemia|waldenstrom's macroglob'naemias|waldenstrom's macroglobulin|waldenstrom's macroglobulinaem|waldenstrom's macroglobulinaemia|waldenstrom's macroglobulinaemia nos|waldenstrom's macroglobulinaemias|waldenstrom's macroglobulinemia|waldenstrom's macroglobulinemia nos|waldenstrom's macroglobulinemias|waldenstroms macroglobulinaemia|waldenstroms macroglobulinaemias|waldenstroms macroglobulinemia|waldenstroms macroglobulinemias|waldenström macroglobulinaemia|waldenström macroglobulinaemias|waldenström macroglobulinemia|waldenström macroglobulinemias|waldenström's macroglobulinemia|waldenström's macroglobulinemias
DOID:0070003	blastoma	blastoma|blastomas
DOID:0070004	myeloid neoplasm	myeloid malignancy|myeloid neoplasia|myeloid neoplasm|myeloid neoplasms|myeloid tumor|myeloid tumors|myeloid tumour|myeloid tumours
DOID:0070322	childhood hepatocellular carcinoma	childhood carcinoma of liver cell|childhood carcinoma of the liver cell|childhood hepatocellular carcinoma|childhood hepatocellular carcinomas|childhood hepatoma|childhood hepatomas|childhood liver cell carcinoma|childhood liver cell carcinomas|childhood-onset hcc|childhood-onset hepatocellular carcinoma|childhood-onset hepatocellular carcinomas|paediatric hepatocellular carcinoma|paediatric hepatocellular carcinomas|pediatric carcinoma of liver cell|pediatric carcinoma of the liver cell|pediatric hcc|pediatric hepatocellular carcinoma|pediatric hepatocellular carcinomas|pediatric hepatoma|pediatric hepatomas|pediatric liver cell carcinoma|pediatric liver cell carcinomas
DOID:0070323	childhood acute myeloid leukemia	aml childhood|aml pediatric|childhood acute granulocytic leukaemia|childhood acute granulocytic leukaemias|childhood acute granulocytic leukemia|childhood acute granulocytic leukemias|childhood acute myeloblastic leukaemia|childhood acute myeloblastic leukaemias|childhood acute myeloblastic leukemia|childhood acute myeloblastic leukemias|childhood acute myelocytic leukaemia|childhood acute myelocytic leukaemias|childhood acute myelocytic leukemia|childhood acute myelocytic leukemias|childhood acute myelogenous leukaemia|childhood acute myelogenous leukaemias|childhood acute myelogenous leukemia|childhood acute myelogenous leukemias|childhood acute myeloid leukaemia|childhood acute myeloid leukaemias|childhood acute myeloid leukemia|childhood acute myeloid leukemias|childhood aml|paediatric acute myeloid leukaemia|paediatric acute myeloid leukaemias|pediatric acute granulocytic leukaemia|pediatric acute granulocytic leukaemias|pediatric acute granulocytic leukemia|pediatric acute granulocytic leukemias|pediatric acute myeloblastic leukaemia|pediatric acute myeloblastic leukaemias|pediatric acute myeloblastic leukemia|pediatric acute myeloblastic leukemias|pediatric acute myelocytic leukaemia|pediatric acute myelocytic leukaemias|pediatric acute myelocytic leukemia|pediatric acute myelocytic leukemias|pediatric acute myelogenous leukaemia|pediatric acute myelogenous leukaemias|pediatric acute myelogenous leukemia|pediatric acute myelogenous leukemias|pediatric acute myeloid leukaemia|pediatric acute myeloid leukaemias|pediatric acute myeloid leukemia|pediatric acute myeloid leukemias|pediatric agl|pediatric aml
DOID:0070324	systemic Epstein-Barr virus positive T-cell lymphoma of childhood	ebv-positive t-cell lymphoproliferative disorder of childhood|systemic ebv+ t-cell lpd of childhood|systemic ebv-positive t-cell lymphoma of childhood|systemic ebv-positive t-cell lymphoproliferative disease of childhood|systemic epstein-barr virus positive t-cell lymphoma of childhood|systemic epstein-barr virus positive t-cell lymphoproliferative disease of childhood|systemic epstein-barr virus-positive t-cell lymphoproliferative disease of childhood
DOID:0070325	malignant childhood adrenal gland pheochromocytoma	malignant childhood adrenal gland pheochromocytoma|malignant childhood adrenal gland pheochromocytomas|malignant pediatric adrenal gland pheochromocytoma|malignant pediatric adrenal gland pheochromocytomas
DOID:0070326	spitzoid melanoma	atypical spitz nevus|malignant spitz tumor|malignant spitz tumors|malignant spitz tumour|malignant spitz tumours|spitz melanoma|spitz melanomas|spitzoid melanoma|spitzoid melanomas
DOID:0070327	melanoma in congenital melanocytic nevus	malignant melanoma in congenital melanocytic nevus|melanocytic nevi|melanoma in congenital melanocytic nevus
DOID:0070328	adult hepatocellular carcinoma	adult hcc|adult hepatocellular carcinoma|adult hepatocellular carcinomas|adult hepatoma|adult hepatomas|adult primary carcinoma of liver cell|adult primary carcinoma of the liver cell|adult primary hepatocellular carcinoma|adult primary hepatocellular carcinomas|adult primary hepatoma|adult primary hepatomas|adult primary liver cell carcinoma|adult primary liver cell carcinomas
